t_end,latency_ms,cache_hit
1757266050.776321,0.005,0
1757266050.776325,0.003,1
1757266050.776334,0.007,1
1757266050.776338,0.003,1
1757266050.776346,0.007,1
1757266050.776351,0.002,1
1757266050.776356,0.004,0
1757266050.776360,0.003,1
1757266050.776379,0.017,0
1757266050.776387,0.006,0
1757266050.776396,0.007,1
1757266050.776400,0.003,1
1757266050.776421,0.019,0
1757266050.776429,0.006,0
1757266050.776438,0.008,1
1757266050.776442,0.003,1
1757266050.776462,0.018,0
1757266050.776466,0.003,1
1757266050.776471,0.004,0
1757266050.776479,0.006,0
1757266050.776485,0.005,0
1757266050.776492,0.006,0
1757266050.776498,0.005,0
1757266050.776502,0.002,1
1757266050.776511,0.007,1
1757266050.776515,0.003,1
1757266050.776520,0.004,0
1757266050.776528,0.006,0
1757266050.776536,0.007,1
1757266050.776541,0.002,1
1757266050.776561,0.019,0
1757266050.776565,0.003,1
1757266050.776585,0.018,0
1757266050.776592,0.006,0
1757266050.776611,0.018,0
1757266050.776616,0.002,1
1757266050.776621,0.004,0
1757266050.776628,0.006,0
1757266050.776634,0.004,0
1757266050.776638,0.002,1
1757266050.776657,0.017,0
1757266050.776665,0.007,0
1757266050.776671,0.004,0
1757266050.776676,0.002,1
1757266050.776694,0.017,0
1757266050.776702,0.005,0
1757266050.776708,0.004,0
1757266050.776712,0.002,1
1757266050.776720,0.007,1
1757266050.776724,0.003,1
1757266050.776730,0.005,0
1757266050.776734,0.003,1
1757266050.776739,0.004,0
1757266050.776747,0.007,0
1757266050.776755,0.007,1
1757266050.776760,0.002,1
1757266050.776768,0.007,1
1757266050.776772,0.003,1
1757266050.776780,0.007,1
1757266050.776784,0.003,1
1757266050.776817,0.031,0
1757266050.776824,0.006,0
1757266050.776846,0.020,0
1757266050.776856,0.009,0
1757266050.776861,0.004,0
1757266050.776868,0.005,0
1757266050.776877,0.007,1
1757266050.776882,0.002,1
1757266050.776903,0.020,0
1757266050.776912,0.007,0
1757266050.776930,0.017,0
1757266050.776938,0.006,0
1757266050.776944,0.005,0
1757266050.776951,0.005,0
1757266050.776970,0.017,0
1757266050.776974,0.002,1
1757266050.776980,0.005,0
1757266050.776984,0.003,1
1757266050.776992,0.007,1
1757266050.776996,0.003,1
1757266050.777015,0.017,0
1757266050.777019,0.002,1
1757266050.777028,0.007,1
1757266050.777032,0.003,1
1757266050.777038,0.005,0
1757266050.777045,0.006,0
1757266050.777053,0.007,1
1757266050.777058,0.002,1
1757266050.777076,0.017,0
1757266050.777081,0.002,1
1757266050.777089,0.007,1
1757266050.777093,0.003,1
1757266050.777098,0.004,0
1757266050.777103,0.002,1
1757266050.777122,0.018,0
1757266050.777126,0.003,1
1757266050.777132,0.005,0
1757266050.777139,0.005,0
1757266050.777157,0.017,0
1757266050.777164,0.006,0
1757266050.777173,0.007,1
1757266050.777177,0.002,1
1757266050.777185,0.007,1
1757266050.777189,0.003,1
1757266050.777209,0.018,0
1757266050.777213,0.003,1
1757266050.777233,0.018,0
1757266050.777237,0.003,1
1757266050.777245,0.007,1
1757266050.777249,0.002,1
1757266050.777289,0.038,0
1757266050.777299,0.008,0
1757266050.777308,0.007,1
1757266050.777312,0.003,1
1757266050.777318,0.004,0
1757266050.777326,0.007,0
1757266050.777334,0.007,1
1757266050.777338,0.002,1
1757266050.777357,0.018,0
1757266050.777364,0.005,0
1757266050.777383,0.018,0
1757266050.777391,0.007,0
1757266050.777396,0.004,0
1757266050.777403,0.006,0
1757266050.777409,0.005,0
1757266050.777416,0.006,0
1757266050.777422,0.005,0
1757266050.777426,0.002,1
1757266050.777432,0.004,0
1757266050.777438,0.005,0
1757266050.777444,0.005,0
1757266050.777448,0.003,1
1757266050.777466,0.017,0
1757266050.777470,0.003,1
1757266050.777475,0.004,0
1757266050.777479,0.003,1
